method,fold,P,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,point_wape
B2_xgb,F4,7,0.39362,0.24397,0,0.398,0.95889,1.29604,0.32324,0.64802,0.57562,0.4365,0.28609,0.09225,0.60838,0.26592,0.30998,0.94833,0.91028,0.03806,0.0,0.91028,over,0.93603,0.86195,0.94719,0.91089,0.96167,0.9575,0.97056,0.94917,0.02139,0.0,0.94917,over,0.96465,0.9234,0.97442,0.95215,0.9725,0.97167,0.97861,0.96611,0.0125,0.0,0.96611,consistent,0.97559,0.94529,0.9835,0.97607,0.97667,0.97667,0.98778,0.9825,0.00528,0.0,0.9825,consistent,0.98737,0.98064,0.9934,0.98597,0.9825,0.98083,0.398
C_rf,F4,7,0.38318,0.23466,0,0.38897,0.96333,1.31346,0.31586,0.65673,0.54979,0.41329,0.27333,0.09007,0.59391,0.25812,0.30086,0.94639,0.90667,0.03972,0.0,0.90667,over,0.93519,0.85101,0.94389,0.91254,0.96,0.95583,0.97056,0.94861,0.02194,0.0,0.94861,over,0.96465,0.92256,0.9736,0.95462,0.97333,0.96833,0.97722,0.96556,0.01167,0.0,0.96556,consistent,0.97222,0.94697,0.9835,0.97525,0.97583,0.97417,0.98556,0.97972,0.00583,0.0,0.97972,consistent,0.98569,0.97391,0.99092,0.98597,0.98,0.97917,0.38897
B2_raw,F4,7,0.39726,0.24417,0,0.40009,0.96583,1.32997,0.32312,0.66498,0.5791,0.43682,0.287,0.09252,0.618,0.26548,0.31181,0.94972,0.91611,0.03361,0.0,0.91611,over,0.94276,0.88384,0.94719,0.91254,0.95917,0.95167,0.97056,0.95333,0.01722,0.0,0.95333,over,0.96717,0.93603,0.97277,0.9571,0.97167,0.96667,0.97972,0.9675,0.01222,0.0,0.9675,consistent,0.97727,0.95202,0.98432,0.97525,0.9775,0.975,0.98778,0.98278,0.005,0.0,0.98278,consistent,0.98906,0.98064,0.99175,0.98515,0.9825,0.9825,0.40009
quantile_model,F4,10,0.39069,0.18685,0,0.36228,0.88167,1.44735,0.27881,0.72367,0.60397,0.42534,0.23632,0.07601,0.74571,0.22568,0.20586,0.84917,0.78083,0.06833,0.00056,0.78139,consistent,0.883,0.79125,0.83828,0.76815,0.82667,0.78333,0.92361,0.88694,0.03667,0.0,0.88694,consistent,0.94697,0.89226,0.91337,0.87376,0.91083,0.895,0.96417,0.94833,0.01583,0.0,0.94833,consistent,0.97643,0.95875,0.95792,0.94059,0.95833,0.94583,0.99667,0.99389,0.00278,0.0,0.99389,consistent,0.99663,0.99411,0.99752,0.9934,0.99583,0.99417,
conformal,F4,10,0.40088,0.18527,0,0.36223,0.89861,1.44716,0.27881,0.72358,0.64754,0.42946,0.26127,0.06464,0.7793,0.22476,0.20414,0.85528,0.79028,0.065,0.00194,0.79222,consistent,0.85774,0.73906,0.86634,0.82096,0.84167,0.81,0.94056,0.91028,0.03028,0.0,0.91028,consistent,0.94444,0.89057,0.94802,0.92244,0.92917,0.9175,0.96806,0.95389,0.01417,0.0,0.95389,consistent,0.97391,0.9537,0.96947,0.95627,0.96083,0.95167,0.99278,0.99028,0.0025,0.0,0.99028,consistent,0.99327,0.98653,0.99257,0.99257,0.9925,0.99167,
B1_ma28,F4,10,0.45288,0.27115,0,0.38913,0.95472,1.46277,0.38842,0.73138,0.65637,0.49835,0.33177,0.111,0.69358,0.30738,0.36155,0.93083,0.89806,0.03278,0.0,0.89806,over,0.90825,0.8367,0.93977,0.91584,0.94417,0.94083,0.95472,0.935,0.01972,0.0,0.935,over,0.94024,0.8931,0.96535,0.95627,0.95833,0.955,0.96722,0.95278,0.01444,0.0,0.95278,consistent,0.95875,0.92761,0.97442,0.9637,0.96833,0.96667,0.98111,0.97389,0.00722,0.0,0.97389,consistent,0.97896,0.96212,0.98762,0.98515,0.97667,0.97417,0.38913
B2_xgb,F4,10,0.46011,0.26353,0,0.38916,0.94111,1.50942,0.40296,0.75471,0.66688,0.50054,0.33069,0.10487,0.70847,0.28339,0.39272,0.94306,0.91583,0.02722,0.0,0.91583,over,0.92424,0.87458,0.93812,0.90842,0.96667,0.96417,0.96917,0.95194,0.01722,0.0,0.95194,over,0.95539,0.91919,0.97195,0.9604,0.98,0.97583,0.97806,0.96583,0.01222,0.0,0.96583,consistent,0.97391,0.94444,0.97855,0.9736,0.98167,0.97917,0.9875,0.9825,0.005,0.0,0.9825,consistent,0.98569,0.97643,0.9901,0.9868,0.98667,0.98417,0.38916
C_rf,F4,10,0.42992,0.24476,0,0.36838,0.95,1.48038,0.38364,0.74019,0.61428,0.44735,0.29696,0.09713,0.68788,0.27425,0.33178,0.94,0.91417,0.02583,0.0,0.91417,over,0.9234,0.87542,0.93894,0.91254,0.9575,0.95417,0.96611,0.94694,0.01917,0.0,0.94694,over,0.95791,0.91667,0.96947,0.95545,0.97083,0.96833,0.97444,0.96306,0.01139,0.0,0.96306,consistent,0.96801,0.9436,0.97855,0.97112,0.97667,0.97417,0.98444,0.97806,0.00639,0.0,0.97806,consistent,0.98316,0.97138,0.98927,0.98432,0.98083,0.97833,0.36838
B2_raw,F4,10,0.44392,0.26088,0,0.38261,0.95417,1.46437,0.39201,0.73218,0.6396,0.48074,0.31699,0.10199,0.70671,0.28525,0.34401,0.94722,0.92306,0.02417,0.0,0.92306,over,0.94024,0.89731,0.94307,0.91832,0.95833,0.95333,0.96583,0.95472,0.01111,0.0,0.95472,over,0.96044,0.93855,0.96865,0.9604,0.96833,0.965,0.97667,0.96583,0.01083,0.0,0.96583,consistent,0.97559,0.95202,0.97772,0.97112,0.97667,0.97417,0.98556,0.98028,0.00528,0.0,0.98028,consistent,0.98401,0.97727,0.99092,0.98515,0.98167,0.97833,0.38261
quantile_model,F4,14,0.4562,0.19659,0,0.34754,0.84972,1.82301,0.35316,0.91151,0.71184,0.4262,0.24382,0.0907,0.90362,0.24008,0.23154,0.81639,0.76083,0.05556,0.00083,0.76167,consistent,0.87037,0.77862,0.79455,0.73845,0.785,0.76583,0.90722,0.87444,0.03278,0.0,0.87444,consistent,0.93939,0.90067,0.89191,0.84653,0.89083,0.87667,0.95861,0.93861,0.02,0.0,0.93861,consistent,0.97306,0.94444,0.95627,0.93317,0.94667,0.93833,0.995,0.99194,0.00306,0.0,0.99194,consistent,0.99411,0.99074,0.9967,0.99422,0.99417,0.99083,
conformal,F4,14,0.47083,0.1942,0,0.34751,0.86972,1.82293,0.35316,0.91146,0.76407,0.44767,0.27441,0.07421,0.9545,0.23705,0.22811,0.83889,0.78083,0.05806,0.00083,0.78167,consistent,0.85522,0.75168,0.85066,0.80363,0.81083,0.78667,0.92722,0.89972,0.0275,0.0,0.89972,consistent,0.93687,0.89057,0.93564,0.91419,0.90917,0.89417,0.96333,0.94889,0.01444,0.0,0.94889,consistent,0.96549,0.93939,0.9703,0.95957,0.95417,0.9475,0.99111,0.98833,0.00278,0.0,0.98833,consistent,0.99074,0.98569,0.99257,0.9901,0.99,0.98917,
B1_ma28,F4,14,0.57575,0.29861,0,0.36767,0.95306,1.88222,0.51022,0.94111,0.83742,0.61971,0.41357,0.13245,0.96045,0.33751,0.43551,0.92528,0.89611,0.02917,0.0,0.89611,over,0.89562,0.83165,0.93399,0.91337,0.94583,0.9425,0.95306,0.93556,0.0175,0.0,0.93556,over,0.9335,0.8931,0.9637,0.95215,0.96167,0.96083,0.9625,0.95222,0.01028,0.0,0.95222,consistent,0.94949,0.92424,0.97195,0.967,0.96583,0.965,0.97861,0.97361,0.005,0.0,0.97361,consistent,0.97643,0.96633,0.98515,0.98267,0.97417,0.97167,0.36767
B2_xgb,F4,14,0.56695,0.28993,0,0.36407,0.9375,1.94633,0.51628,0.97316,0.79448,0.59618,0.39561,0.12599,0.95682,0.30912,0.44139,0.945,0.92,0.025,0.0,0.92,over,0.92761,0.88047,0.94059,0.91667,0.96667,0.9625,0.96917,0.95472,0.01444,0.0,0.95472,over,0.96296,0.93687,0.96947,0.95297,0.975,0.97417,0.97778,0.96944,0.00833,0.0,0.96944,consistent,0.97727,0.96044,0.97772,0.97112,0.97833,0.97667,0.98639,0.98361,0.00278,0.0,0.98361,consistent,0.98569,0.98148,0.99092,0.9868,0.9825,0.9825,0.36407
C_rf,F4,14,0.50963,0.26902,0,0.34737,0.94917,1.8079,0.49977,0.90395,0.68156,0.51271,0.34535,0.11444,0.83212,0.29541,0.40672,0.93972,0.91361,0.02611,0.0,0.91361,over,0.91667,0.86869,0.94059,0.91254,0.96167,0.95917,0.96528,0.94944,0.01583,0.0,0.94944,over,0.9537,0.92172,0.96947,0.95627,0.9725,0.97,0.975,0.96444,0.01056,0.0,0.96444,consistent,0.96886,0.94613,0.9802,0.9736,0.97583,0.97333,0.98389,0.97944,0.00444,0.0,0.97944,consistent,0.98401,0.97475,0.98845,0.9868,0.97917,0.97667,0.34737
B2_raw,F4,14,0.52971,0.28054,0,0.3554,0.94444,1.8544,0.50545,0.9272,0.72197,0.54194,0.36323,0.11848,0.8719,0.30297,0.41994,0.93444,0.90861,0.02583,0.0,0.90861,over,0.90909,0.85185,0.93399,0.91502,0.96,0.95833,0.96222,0.945,0.01722,0.0,0.945,over,0.94781,0.91498,0.96782,0.9505,0.97083,0.96917,0.97333,0.96194,0.01139,0.0,0.96194,consistent,0.96886,0.9436,0.97607,0.96865,0.975,0.97333,0.98361,0.97944,0.00417,0.0,0.97944,consistent,0.98401,0.97559,0.98927,0.98597,0.9775,0.97667,0.3554
