variant,cfg,arm,floor,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,fold,P,n_fit,fit_seconds,n_rounds,hit_cap,crossing_share
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.22528,0.19652,2,0.31738,0.87389,0.81259,0.15451,0.40629,0.3285,0.22944,0.15304,0.07989,0.23221,0.2351,0.20841,0.86167,0.82611,0.03556,0.0,0.82611,consistent,0.91077,0.85522,0.84571,0.80941,0.82917,0.81417,0.93,0.91389,0.01611,0.0,0.91389,consistent,0.9596,0.93939,0.91749,0.89851,0.91333,0.90417,0.96389,0.95361,0.01028,0.0,0.95361,consistent,0.98401,0.96801,0.95215,0.94142,0.95583,0.95167,0.99639,0.99611,0.00028,0.0,0.99611,consistent,1.0,1.0,0.99505,0.99422,0.99417,0.99417,F1,14,264471,260.6,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.23958,0.19057,2,0.40077,0.90306,0.84993,0.14378,0.42497,0.35857,0.2564,0.17709,0.07665,0.24445,0.23696,0.23742,0.87056,0.81056,0.06,0.00056,0.81111,consistent,0.90825,0.82407,0.86881,0.80611,0.835,0.80167,0.93611,0.89972,0.03639,0.0,0.89972,consistent,0.96212,0.90993,0.93894,0.89934,0.9075,0.89,0.96306,0.95,0.01306,0.0,0.95,consistent,0.98232,0.96717,0.9637,0.9505,0.94333,0.9325,0.995,0.99417,0.00083,0.0,0.99417,consistent,0.99916,0.99663,0.99505,0.99505,0.99083,0.99083,F2,7,291771,295.2,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.23314,0.18619,2,0.36673,0.88722,0.81957,0.14539,0.40979,0.34722,0.24837,0.17299,0.07509,0.24062,0.23561,0.22322,0.86028,0.8125,0.04778,0.0,0.8125,consistent,0.91414,0.83754,0.85561,0.81271,0.81167,0.7875,0.93028,0.9025,0.02778,0.0,0.9025,consistent,0.9638,0.92593,0.92739,0.90017,0.9,0.88167,0.96472,0.95194,0.01278,0.0,0.95194,consistent,0.98232,0.9697,0.96782,0.94967,0.94417,0.93667,0.99556,0.99444,0.00111,0.0,0.99444,consistent,0.99747,0.99663,0.99752,0.99587,0.99167,0.99083,F2,10,290871,302.0,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.24837,0.19515,2,0.3501,0.87556,0.86682,0.16062,0.43341,0.36255,0.26263,0.1817,0.0893,0.25271,0.25063,0.24176,0.85611,0.81111,0.045,0.00028,0.81139,consistent,0.90236,0.83249,0.85891,0.81518,0.8075,0.78583,0.92528,0.90417,0.02111,0.0,0.90417,consistent,0.96044,0.93266,0.92822,0.90842,0.8875,0.87167,0.95972,0.94944,0.01028,0.0,0.94944,consistent,0.98485,0.97222,0.96205,0.94967,0.9325,0.92667,0.99639,0.99528,0.00111,0.0,0.99528,consistent,0.99916,0.99663,0.99752,0.9967,0.9925,0.9925,F2,14,289671,300.0,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.22898,0.19553,1,0.40071,0.89833,0.85981,0.14667,0.4299,0.34917,0.23719,0.14892,0.06206,0.23945,0.23109,0.21661,0.85583,0.79194,0.06389,0.0,0.79194,consistent,0.91246,0.82828,0.84241,0.76898,0.81333,0.77917,0.92806,0.89111,0.03694,0.0,0.89111,consistent,0.95791,0.91498,0.91997,0.87459,0.90667,0.88417,0.965,0.94444,0.02056,0.0,0.94444,consistent,0.98316,0.95455,0.96287,0.93894,0.94917,0.94,0.99778,0.99556,0.00222,0.0,0.99556,consistent,0.99916,0.99663,0.99752,0.99422,0.99667,0.99583,F3,7,323271,333.4,999,False,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.22591,0.19038,1,0.36839,0.88194,0.8397,0.1528,0.41985,0.34199,0.23056,0.14585,0.06442,0.23248,0.23008,0.21527,0.8525,0.79389,0.05861,0.0025,0.79611,consistent,0.90572,0.83838,0.83168,0.77228,0.82083,0.77167,0.91722,0.88639,0.03083,0.0,0.88639,consistent,0.95707,0.91414,0.89934,0.86469,0.89583,0.88083,0.96417,0.94833,0.01583,0.0,0.94833,consistent,0.98485,0.9596,0.95462,0.93812,0.95333,0.9475,0.99806,0.99694,0.00111,0.0,0.99694,consistent,0.99916,0.99832,0.99917,0.99752,0.99583,0.995,F3,10,322371,332.5,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.23768,0.20223,1,0.33445,0.86694,0.88456,0.16516,0.44228,0.35412,0.23742,0.14997,0.07712,0.24674,0.24214,0.22429,0.83028,0.78444,0.04583,0.00056,0.78444,consistent,0.88805,0.82239,0.80776,0.75743,0.79583,0.77417,0.91889,0.88778,0.03111,0.0,0.88778,consistent,0.94697,0.91414,0.90512,0.86551,0.905,0.88417,0.95889,0.94417,0.01472,0.0,0.94417,consistent,0.97896,0.95875,0.9505,0.93069,0.9475,0.94333,0.99722,0.99694,0.00028,0.0,0.99694,consistent,0.99916,0.99916,0.99752,0.9967,0.995,0.995,F3,14,321171,320.4,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.32332,0.19727,0,0.38577,0.90389,1.3128,0.24831,0.6564,0.48066,0.28631,0.17746,0.0908,0.54723,0.22309,0.20289,0.86583,0.79083,0.075,0.00056,0.79139,consistent,0.90741,0.7963,0.86469,0.79538,0.82583,0.78083,0.93944,0.90528,0.03417,0.0,0.90528,consistent,0.95875,0.90993,0.94059,0.90182,0.91917,0.90417,0.96833,0.95333,0.015,0.0,0.95333,consistent,0.9798,0.9596,0.97112,0.95627,0.95417,0.94417,0.9975,0.99694,0.00056,0.0,0.99694,consistent,0.99832,0.99663,0.99835,0.99835,0.99583,0.99583,F4,7,348471,351.6,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.38528,0.19268,0,0.36433,0.89,1.4977,0.29024,0.74885,0.59129,0.38935,0.1924,0.09953,0.72527,0.22962,0.2059,0.85861,0.80139,0.05722,0.0,0.80139,consistent,0.89731,0.81145,0.85231,0.80033,0.82667,0.7925,0.93,0.90306,0.02694,0.0,0.90306,consistent,0.95202,0.91246,0.92574,0.89686,0.9125,0.9,0.9675,0.95417,0.01333,0.0,0.95417,consistent,0.9798,0.95791,0.967,0.95132,0.95583,0.95333,0.9975,0.99694,0.00056,0.0,0.99694,consistent,0.99832,0.99663,0.99835,0.99835,0.99583,0.99583,F4,10,347571,372.1,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.45518,0.20463,0,0.35208,0.86972,1.96081,0.36676,0.9804,0.66427,0.3872,0.2,0.13243,0.8974,0.24336,0.23132,0.83056,0.78028,0.05028,0.0,0.78028,consistent,0.87879,0.80219,0.82013,0.77063,0.79333,0.76833,0.91722,0.88861,0.02861,0.0,0.88861,consistent,0.94444,0.90993,0.91419,0.88036,0.89333,0.87583,0.96167,0.94972,0.01194,0.0,0.94972,consistent,0.97811,0.95623,0.9604,0.9505,0.94667,0.9425,0.99583,0.99556,0.00028,0.0,0.99556,consistent,0.99495,0.99495,0.99835,0.99752,0.99417,0.99417,F4,14,346371,363.5,1000,True,0.0
