family,variant,cfg,arm,floor,fold,P,n_fit,fit_seconds,wape,mase,mase_median,mase_series,mase_excluded,mae,rmse,share_y_le_forecast,wape_low,wape_mid,wape_high
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 5}",all,,F3,14,321171,3.5,0.34883429950279443,0.943839024094002,0.8281711867148857,299,1,6.1831848571035595,12.352161709403783,0.5752777777777778,0.6723426435932969,0.3823841721391121,0.30814080221129636
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 30}",all,,F3,14,321171,3.8,0.35091343000901326,0.9176880648179134,0.7995589683806321,299,1,6.22003802286254,12.490633053443517,0.5752777777777778,0.6331231689595431,0.3727524233852607,0.31761931018395856
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 5}",all,,F3,14,321171,4.1,0.3522372086583803,0.9167892289673358,0.7870507755160676,299,1,6.243502367138863,12.682750037282434,0.575,0.6361254984025456,0.37192214045192035,0.31942290362783843
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 30}",all,0.07142857142857142,F3,14,321171,2.4,0.36510994153843823,0.9559582432256108,0.8385223095635874,299,1,6.471675133197023,13.09560432382747,0.5891666666666666,0.6570708541401404,0.3972758988971139,0.32782447833235473
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 5}",all,0.07142857142857142,F3,14,321171,2.2,0.3655105852832083,0.9578241508156101,0.8358752873371638,299,1,6.478776654863001,13.122570148831699,0.5919444444444445,0.6575047993038119,0.39814565212098707,0.32808273345247624
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 5}",all,0.07142857142857142,F3,14,321171,1.8,0.39689819896725437,1.028763533635476,0.9058726015936539,299,1,7.035130826194297,14.264013756722013,0.6544444444444445,0.6903744969458572,0.43300755204988334,0.3582984187938525
lr,raw,{},all,,F4,7,348471,3.0,0.40781752674921323,1.2797938992348161,0.8049582352635103,300,0,3.7379874805954967,7.276226567685428,0.5516666666666666,0.6250219396069839,0.44975922689968395,0.3693109653262363
lr,norm,{},all,0.07142857142857142,F4,7,348471,3.0,0.4928925452071854,1.3753081737091017,0.8498347640527035,300,0,4.517770920611527,10.981239516537196,0.5858333333333333,0.6400601422058952,0.5087056770384141,0.4707063414661852
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,,F4,7,348471,1.5,0.39358843278248445,1.3124692265993607,0.7835019788901169,300,0,3.607565976812122,7.491829076726043,0.5616666666666666,0.6118847775714332,0.43575050141112154,0.35488534256204957
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,,F4,7,348471,1.7,0.38886133992582117,1.316366444354769,0.7853242273076466,300,0,3.564238231536756,7.231086044518672,0.5630555555555555,0.6088845592337833,0.43650672829623527,0.3482570280849491
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,,F4,7,348471,1.7,0.3943996837644764,1.3069986933697721,0.7809238179294253,300,0,3.6150017681045634,7.495497502797852,0.5605555555555556,0.6107891737120091,0.43597156566348577,0.3561033991201726
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,,F4,7,348471,1.8,0.3894158429246831,1.3109213735855816,0.7799937824694856,300,0,3.5693207136071576,7.23743648027773,0.5594444444444444,0.6099679885094081,0.4355529131774052,0.34921657010946444
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,7,348471,2.0,0.40066379759322696,1.2696613606772311,0.7884282526850831,300,0,3.6724175914399195,7.413607250295161,0.5827777777777777,0.6230207052396889,0.44418950986977557,0.36106133276709573
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,7,348471,2.1,0.4012888882181756,1.2768115803039977,0.7896073516036359,300,0,3.6781470679264276,7.340283950984379,0.5822222222222222,0.6222360040719901,0.4450430217502654,0.3617812880070053
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,7,348471,2.3,0.39790167614777383,1.2763982811244785,0.7830803509188626,300,0,3.6471004466244703,7.397041453674002,0.5736111111111111,0.6182141097717776,0.44102586963036283,0.3586637471143996
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,7,348471,2.4,0.3961127629093893,1.2985062799011928,0.7749207026979995,300,0,3.630703566033644,7.269488617587641,0.5725,0.6176876856590964,0.4386935882960434,0.3568948225641456
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 30}",all,,F4,7,348471,4.2,0.39844034781480414,1.2988608211942476,0.8295338946887305,300,0,3.6520378213458593,7.300057234972414,0.5688888888888889,0.656956974817481,0.4371313817290317,0.3560875081608658
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 5}",all,,F4,7,348471,3.0,0.4036298089198359,1.3332623389992422,0.8402112015241072,300,0,3.699603556924396,7.429778013458376,0.5938888888888889,0.6770379504679931,0.44076291508655313,0.3600101425831293
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 30}",all,,F4,7,348471,4.5,0.39327154551220145,1.3334776574761924,0.7875728428993747,300,0,3.604661440907253,7.400485544951834,0.5655555555555556,0.6281875937694302,0.4318131120773255,0.35373745618523406
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 5}",all,,F4,7,348471,4.1,0.40075254825063483,1.3391867610260881,0.796260846853298,300,0,3.673231065173944,7.706375667946056,0.5736111111111111,0.6348878022321721,0.4374669291856252,0.36187611954434934
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 30}",all,0.07142857142857142,F4,7,348471,3.3,0.4161650566309202,1.3236551852904133,0.8164919405310906,300,0,3.8144995482362427,7.67389880236804,0.5783333333333334,0.637965689312254,0.44834300880832784,0.380142702223268
